cinema,Aisaksittoo
store,Itaohpomoapii
night club,Itaisimmioapii
cafe,Itoiyo’pii
house,Naapoiyiss
tipi,Niitoiyiss
water,Aohkii
fish,mamii
oranges,aotahkoinammiksi
apples,aipasstaamiinammiksi
fries,paataakistsi
burger,pikkiaaksin
dessert,pisatsoyiikan
bread,napayin
tea,Siksikimmii
coffee,Iitapsiksikimmii
bathroom,Makapoiyiss
kitchen,Itoiyo’soap
car,Aiksistomatomahka
door,Kitsim
elevator,Aisspaohpii
window,Ksisstsikomstan
dog,Imitaa 
man,Ninaa
woman,Aakii 
girl,Aakiikoan 
boy,Saahkomaapi 
mother,Iksisst 
father,Inn
Hello,Oki 
Hello friend,Oki napi
How are you?,Tsa niita’piiwa? 
I'm doing good. You?,Tsikohssokopii. Kistoo?
Not too bad,Matohkwiikii
Let's go,Okí 
Yes,Aa
No,Saa 
Today,Annohk
This morning,Ksisskanaotonni
Tomorrow,Aapinakos
I will go,Nitaakitapoo 
I will eat,Nitaaksoyi 